NorthAmericaNorthWest      ;(-135,  35);(-115,  55)
NorthAmericaNorthMountain  ;(-115,  35);( -95,  55)
NorthAmericaNorthCentral   ;( -95,  35);( -75,  55)
NorthAmericaNorthEast      ;( -75,  35);( -55,  55)
EuropeWest                 ;( -15,  35);(   5,  55)
EuropeCentral              ;(  5,   35);(  25,  55)
EuropeEast                 ;(  25,  35);(  45,  55)
AsiaNorthCentral           ;( 105,  35);( 125,  55)
AsiaNorthEast              ;( 125,  35);( 145,  55)
NorthPacificHawaii         ;(-165,  15);(-145,  35)
NorthPacificSubTropicsEast ;(-145,  15);(-125,  35)
NorthAmericaSouthWest      ;(-125,  15);(-105,  35)
NorthAmericaSouthCentral   ;(-105,  15);( -85,  35)
NorthAmericaSouthEast      ;( -85,  15);( -65,  35)
NorthAtlanticSubTropicsWest;( -65,  15);( -45,  35)
NorthAtlanticSubTropicsEast;( -45,  15);( -25,  35)
SaharaWest                 ;( -25,  15);(  -5,  35)
SaharaCentral              ;(  -5,  15);(  15,  35)
SaharaEast                 ;(  15,  15);(  35,  35)
Arabia                     ;(  35,  15);(  55,  35)
IndiaNorthWest             ;(  55,  15);(  75,  35)
IndiaNorthEast             ;(  75,  15);(  95,  35)
AsiaSouthCentral           ;(  95,  15);( 115,  35)
AsiaSouthEast              ;( 115,  15);( 135,  35)
AmazoniaWest               ;( -85, -15);( -55,  15)
AmazoniaEast               ;( -55, -15);( -25,  15)
AfricaWest                 ;( -25, -15);(   5,  15)
AfricaCentral              ;(   5, -15);(  35,  15)
AfricaEast                 ;(  35, -15);(  65,  15)
IndiaSouth                 ;(  65, -15);(  95,  15)
OceaniaWest                ;(  95, -15);( 125,  15)
OceaniaEast                ;( 125, -15);( 155,  15)
SouthAmericaCentralWest    ;( -75, -35);( -55, -15)
SouthAmericaCentralEast    ;( -55, -35);( -35, -15)
AfricaSouthWest            ;(   5, -35);(  25, -15)
AfricaSouthEast            ;(  25, -35);(  45, -15)
Madagascar                 ;(  45, -35);(  65, -15)
AustraliaWest              ;( 105, -35);( 125, -15)
AustraliaCentral           ;( 125, -35);( 145, -15)
AustraliaEast              ;( 145, -35);( 165, -15)
Patagonia                  ;( -75, -55);( -55, -35)
