Formatted address: 3210 Dartmouth Ave, Boulder, CO 80305, USA
Coordinates (latitude, longitude): (39.9895882, -105.2546164)
Elevation: (meters AMSL) 1643.486083984375	(feet): 5392.014711

Time sequence:
Start: 2004, 06, 14, 00, 00
Stop: 2004, 06, 15, 00, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2004-06-14 00:00:00-06:00  344.451030  115.137745
2004-06-14 00:10:00-06:00  346.937765  115.610674
2004-06-14 00:20:00-06:00  349.450810  116.002202
2004-06-14 00:30:00-06:00  351.985603  116.310794
2004-06-14 00:40:00-06:00  354.537225  116.535206
2004-06-14 00:50:00-06:00  357.100431  116.674527
2004-06-14 01:00:00-06:00  359.669811  116.728180
2004-06-14 01:10:00-06:00    2.239903  116.695940
2004-06-14 01:20:00-06:00    4.805147  116.577943
2004-06-14 01:30:00-06:00    7.360111  116.374675
2004-06-14 01:40:00-06:00    9.899529  116.086972
2004-06-14 01:50:00-06:00   12.418391  115.715992
2004-06-14 02:00:00-06:00   14.912022  115.263205
2004-06-14 02:10:00-06:00   17.376140  114.730353
2004-06-14 02:20:00-06:00   19.806905  114.119432
2004-06-14 02:30:00-06:00   22.200956  113.432648
2004-06-14 02:40:00-06:00   24.555432  112.672391
2004-06-14 02:50:00-06:00   26.867966  111.841195
2004-06-14 03:00:00-06:00   29.136702  110.941702
2004-06-14 03:10:00-06:00   31.360260  109.976633
2004-06-14 03:20:00-06:00   33.537718  108.948762
2004-06-14 03:30:00-06:00   35.668583  107.860876
2004-06-14 03:40:00-06:00   37.752754  106.715764
2004-06-14 03:50:00-06:00   39.790493  105.516190
2004-06-14 04:00:00-06:00   41.782378  104.264870
2004-06-14 04:10:00-06:00   43.729258  102.964467
2004-06-14 04:20:00-06:00   45.632238  101.617571
2004-06-14 04:30:00-06:00   47.492631  100.226698
2004-06-14 04:40:00-06:00   49.311927   98.794274
2004-06-14 04:50:00-06:00   51.091772   97.322637
2004-06-14 05:00:00-06:00   52.833928   95.814032
2004-06-14 05:10:00-06:00   54.540273   94.270611
2004-06-14 05:20:00-06:00   56.212768   92.694433
2004-06-14 05:30:00-06:00   57.853444   91.087463
2004-06-14 05:40:00-06:00   59.464399   89.451579
2004-06-14 05:50:00-06:00   61.047773   87.788572
2004-06-14 06:00:00-06:00   62.605767   86.100153
2004-06-14 06:10:00-06:00   64.140613   84.387952
2004-06-14 06:20:00-06:00   65.654599   82.653529
2004-06-14 06:30:00-06:00   67.150049   80.898373
2004-06-14 06:40:00-06:00   68.629338   79.123913
2004-06-14 06:50:00-06:00   70.094912   77.331521
2004-06-14 07:00:00-06:00   71.549264   75.522516
2004-06-14 07:10:00-06:00   72.994997   73.698172
2004-06-14 07:20:00-06:00   74.434780   71.859728
2004-06-14 07:30:00-06:00   75.871408   70.008385
2004-06-14 07:40:00-06:00   77.307831   68.145326
2004-06-14 07:50:00-06:00   78.747129   66.271708
2004-06-14 08:00:00-06:00   80.192602   64.388686
2004-06-14 08:10:00-06:00   81.647767   62.497410
2004-06-14 08:20:00-06:00   83.116415   60.599041
2004-06-14 08:30:00-06:00   84.602678   58.694757
2004-06-14 08:40:00-06:00   86.111036   56.785770
2004-06-14 08:50:00-06:00   87.646463   54.873338
2004-06-14 09:00:00-06:00   89.214442   52.958784
2004-06-14 09:10:00-06:00   90.821114   51.043511
2004-06-14 09:20:00-06:00   92.473371   49.129026
2004-06-14 09:30:00-06:00   94.179020   47.216972
2004-06-14 09:40:00-06:00   95.946939   45.309157
2004-06-14 09:50:00-06:00   97.787306   43.407605
2004-06-14 10:00:00-06:00   99.711862   41.514594
2004-06-14 10:10:00-06:00  101.734179   39.632727
2004-06-14 10:20:00-06:00  103.870088   37.765008
2004-06-14 10:30:00-06:00  106.138080   35.914959
2004-06-14 10:40:00-06:00  108.559833   34.086719
2004-06-14 10:50:00-06:00  111.160837   32.285223
2004-06-14 11:00:00-06:00  113.971030   30.516408
2004-06-14 11:10:00-06:00  117.025483   28.787455
2004-06-14 11:20:00-06:00  120.365063   27.107099
2004-06-14 11:30:00-06:00  124.036672   25.486022
2004-06-14 11:40:00-06:00  128.093067   23.937304
2004-06-14 11:50:00-06:00  132.591307   22.476852
2004-06-14 12:00:00-06:00  137.589202   21.123887
2004-06-14 12:10:00-06:00  143.138512   19.901161
2004-06-14 12:20:00-06:00  149.273798   18.834784
2004-06-14 12:30:00-06:00  155.996821   17.953266
2004-06-14 12:40:00-06:00  163.258924   17.285424
2004-06-14 12:50:00-06:00  170.947764   16.857048
2004-06-14 13:00:00-06:00  178.887558   16.686812
2004-06-14 13:10:00-06:00  186.859441   16.782681
2004-06-14 13:20:00-06:00  194.638767   17.140125
2004-06-14 13:30:00-06:00  202.034742   17.743162
2004-06-14 13:40:00-06:00  208.916376   18.567566
2004-06-14 13:50:00-06:00  215.218113   19.584991
2004-06-14 14:00:00-06:00  220.929326   20.766580
2004-06-14 14:10:00-06:00  226.077103   22.085394
2004-06-14 14:20:00-06:00  230.709720   23.517705
