Formatted address: Nuremberg, Germany
Coordinates (latitude, longitude): (49.45203, 11.07675)
Elevation: (meters AMSL) 0	(feet): 0.000000

Time sequence:
Start: 2007, 09, 12, 00, 00
Stop: 2007, 09, 13, 00, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2007-09-12 00:00:00-06:00   96.324881   78.967573
2007-09-12 00:10:00-06:00   98.270166   77.357210
2007-09-12 00:20:00-06:00  100.234652   75.754833
2007-09-12 00:30:00-06:00  102.221724   74.162427
2007-09-12 00:40:00-06:00  104.234834   72.582046
2007-09-12 00:50:00-06:00  106.277504   71.015827
2007-09-12 01:00:00-06:00  108.353329   69.466001
2007-09-12 01:10:00-06:00  110.465968   67.934903
2007-09-12 01:20:00-06:00  112.619157   66.424984
2007-09-12 01:30:00-06:00  114.816655   64.938827
2007-09-12 01:40:00-06:00  117.062271   63.479147
2007-09-12 01:50:00-06:00  119.359823   62.048817
2007-09-12 02:00:00-06:00  121.713069   60.650862
2007-09-12 02:10:00-06:00  124.125738   59.288478
2007-09-12 02:20:00-06:00  126.601381   57.965030
2007-09-12 02:30:00-06:00  129.143400   56.684055
2007-09-12 02:40:00-06:00  131.754882   55.449266
2007-09-12 02:50:00-06:00  134.438586   54.264536
2007-09-12 03:00:00-06:00  137.196780   53.133890
2007-09-12 03:10:00-06:00  140.031131   52.061489
2007-09-12 03:20:00-06:00  142.942581   51.051591
2007-09-12 03:30:00-06:00  145.931240   50.108523
2007-09-12 03:40:00-06:00  148.996192   49.236625
2007-09-12 03:50:00-06:00  152.135442   48.440201
2007-09-12 04:00:00-06:00  155.345741   47.723438
2007-09-12 04:10:00-06:00  158.622551   47.090337
2007-09-12 04:20:00-06:00  161.960000   46.544639
2007-09-12 04:30:00-06:00  165.350875   46.089714
2007-09-12 04:40:00-06:00  168.786706   45.728507
2007-09-12 04:50:00-06:00  172.257931   45.463424
2007-09-12 05:00:00-06:00  175.754045   45.296289
2007-09-12 05:10:00-06:00  179.263847   45.228274
2007-09-12 05:20:00-06:00  182.775794   45.259860
2007-09-12 05:30:00-06:00  186.278274   45.390832
2007-09-12 05:40:00-06:00  189.759908   45.620282
2007-09-12 05:50:00-06:00  193.209932   45.946629
2007-09-12 06:00:00-06:00  196.618374   46.367683
2007-09-12 06:10:00-06:00  199.976341   46.880698
2007-09-12 06:20:00-06:00  203.276142   47.482458
2007-09-12 06:30:00-06:00  206.511398   48.169357
2007-09-12 06:40:00-06:00  209.677068   48.937490
2007-09-12 06:50:00-06:00  212.769436   49.782729
2007-09-12 07:00:00-06:00  215.786044   50.700813
2007-09-12 07:10:00-06:00  218.725593   51.687413
2007-09-12 07:20:00-06:00  221.587797   52.738197
2007-09-12 07:30:00-06:00  224.373340   53.848881
2007-09-12 07:40:00-06:00  227.083600   55.015269
2007-09-12 07:50:00-06:00  229.720654   56.233283
2007-09-12 08:00:00-06:00  232.287084   57.498999
2007-09-12 08:10:00-06:00  234.785840   58.808647
2007-09-12 08:20:00-06:00  237.220256   60.158627
2007-09-12 08:30:00-06:00  239.593829   61.545512
2007-09-12 08:40:00-06:00  241.910192   62.966052
2007-09-12 08:50:00-06:00  244.173116   64.417161
2007-09-12 09:00:00-06:00  246.386425   65.895917
2007-09-12 09:10:00-06:00  248.553890   67.399551
2007-09-12 09:20:00-06:00  250.679308   68.925438
2007-09-12 09:30:00-06:00  252.766450   70.471082
2007-09-12 09:40:00-06:00  254.818949   72.034111
