Formatted address: 2121 Stewart St, Santa Monica, CA 90404, USA
Coordinates (latitude, longitude): (34.025205, -118.461189)
Elevation: (meters AMSL) 51.36585998535156	(feet): 168.523163

Time sequence:
Start: 2006, 05, 01, 00, 00
Stop: 2006, 05, 02, 00, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2006-05-01 00:00:00-06:00  327.042353  124.272417
2006-05-01 00:10:00-06:00  329.669435  125.357769
2006-05-01 00:20:00-06:00  332.379982  126.359771
2006-05-01 00:30:00-06:00  335.171644  127.273579
2006-05-01 00:40:00-06:00  338.040815  128.094444
2006-05-01 00:50:00-06:00  340.982441  128.817826
2006-05-01 01:00:00-06:00  343.989965  129.439466
2006-05-01 01:10:00-06:00  347.055354  129.955524
2006-05-01 01:20:00-06:00  350.169237  130.362658
2006-05-01 01:30:00-06:00  353.320932  130.658135
2006-05-01 01:40:00-06:00  356.498800  130.839917
2006-05-01 01:50:00-06:00  359.690411  130.906727
2006-05-01 02:00:00-06:00    2.883019  130.858082
2006-05-01 02:10:00-06:00    6.063791  130.694335
2006-05-01 02:20:00-06:00    9.220250  130.416637
2006-05-01 02:30:00-06:00   12.340593  130.026913
2006-05-01 02:40:00-06:00   15.413995  129.527783
2006-05-01 02:50:00-06:00   18.430839  128.922506
2006-05-01 03:00:00-06:00   21.382880  128.214847
2006-05-01 03:10:00-06:00   24.263342  127.409004
2006-05-01 03:20:00-06:00   27.066923  126.509478
2006-05-01 03:30:00-06:00   29.789771  125.520993
2006-05-01 03:40:00-06:00   32.429390  124.448384
2006-05-01 03:50:00-06:00   34.984516  123.296517
2006-05-01 04:00:00-06:00   37.454978  122.070224
2006-05-01 04:10:00-06:00   39.841535  120.774240
2006-05-01 04:20:00-06:00   42.145744  119.413161
2006-05-01 04:30:00-06:00   44.369790  117.991401
2006-05-01 04:40:00-06:00   46.516365  116.513177
2006-05-01 04:50:00-06:00   48.588548  114.982486
2006-05-01 05:00:00-06:00   50.589698  113.403102
