Formatted address: 3210 Dartmouth Ave, Boulder, CO 80305, USA
Coordinates (latitude, longitude): (39.9895882, -105.2546164)
Elevation: (meters AMSL) 1643.486083984375	(feet): 5392.014711

Time sequence:
Start: 2009, 02, 10, 10, 00
Stop: 2009, 02, 11, 14, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2009-02-10 10:00:00-07:00  142.570104   62.599911
2009-02-10 10:10:00-07:00  144.996310   61.466120
2009-02-10 10:20:00-07:00  147.487225   60.399623
2009-02-10 10:30:00-07:00  150.042358   59.404226
2009-02-10 10:40:00-07:00  152.660506   58.483718
2009-02-10 10:50:00-07:00  155.339634   57.641839
2009-02-10 11:00:00-07:00  158.076833   56.882216
2009-02-10 11:10:00-07:00  160.868263   56.208298
2009-02-10 11:20:00-07:00  163.709184   55.623310
2009-02-10 11:30:00-07:00  166.593928   55.130166
2009-02-10 11:40:00-07:00  169.515952   54.731427
2009-02-10 11:50:00-07:00  172.467973   54.429222
2009-02-10 12:00:00-07:00  175.442056   54.225214
2009-02-10 12:10:00-07:00  178.429745   54.120542
2009-02-10 12:20:00-07:00  181.422324   54.115791
2009-02-10 12:30:00-07:00  184.410914   54.210990
2009-02-10 12:40:00-07:00  187.386773   54.405603
2009-02-10 12:50:00-07:00  190.341431   54.698536
2009-02-10 13:00:00-07:00  193.266869   55.088171
2009-02-10 13:10:00-07:00  196.155752   55.572425
2009-02-10 13:20:00-07:00  199.001468   56.148766
2009-02-10 13:30:00-07:00  201.798267   56.814314
2009-02-10 13:40:00-07:00  204.541312   57.565863
2009-02-10 13:50:00-07:00  207.226696   58.399986
2009-02-10 14:00:00-07:00  209.851415   59.313067
2009-02-10 14:10:00-07:00  212.413364   60.301371
2009-02-10 14:20:00-07:00  214.911247   61.361111
2009-02-10 14:30:00-07:00  217.344556   62.488478
2009-02-10 14:40:00-07:00  219.713416   63.679695
2009-02-10 14:50:00-07:00  222.018550   64.931047
2009-02-10 15:00:00-07:00  224.261215   66.238911
2009-02-10 15:10:00-07:00  226.443078   67.599773
2009-02-10 15:20:00-07:00  228.566147   69.010257
2009-02-10 15:30:00-07:00  230.632730   70.467117
2009-02-10 15:40:00-07:00  232.645341   71.967259
2009-02-10 15:50:00-07:00  234.606698   73.507735
2009-02-10 16:00:00-07:00  236.519588   75.085751
2009-02-10 16:10:00-07:00  238.386989   76.698654
2009-02-10 16:20:00-07:00  240.211797   78.343936
2009-02-10 16:30:00-07:00  241.997099   80.019222
2009-02-10 16:40:00-07:00  243.745901   81.722270
2009-02-10 16:50:00-07:00  245.461235   83.450955
2009-02-10 17:00:00-07:00  247.146160   85.203267
2009-02-10 17:10:00-07:00  248.803738   86.977299
2009-02-10 17:20:00-07:00  250.436973   88.771238
2009-02-10 17:30:00-07:00  252.048952   90.583357
2009-02-10 17:40:00-07:00  253.642681   92.412006
2009-02-10 17:50:00-07:00  255.221274   94.255602
2009-02-10 18:00:00-07:00  256.787792   96.112621
2009-02-10 18:10:00-07:00  258.345376   97.981584
2009-02-10 18:20:00-07:00  259.897195   99.861055
2009-02-10 18:30:00-07:00  261.446527  101.749625
2009-02-10 18:40:00-07:00  262.996735  103.645905
2009-02-10 18:50:00-07:00  264.551258  105.548514
2009-02-10 19:00:00-07:00  266.113732  107.456072
2009-02-10 19:10:00-07:00  267.687927  109.367181
2009-02-10 19:20:00-07:00  269.277858  111.280417
2009-02-10 19:30:00-07:00  270.887707  113.194324
2009-02-10 19:40:00-07:00  272.522007  115.107379
2009-02-10 19:50:00-07:00  274.185568  117.017998
2009-02-10 20:00:00-07:00  275.883635  118.924502
2009-02-10 20:10:00-07:00  277.621863  120.825098
2009-02-10 20:20:00-07:00  279.406346  122.717866
2009-02-10 20:30:00-07:00  281.243858  124.600717
2009-02-10 20:40:00-07:00  283.141722  126.471366
2009-02-10 20:50:00-07:00  285.108051  128.327299
2009-02-10 21:00:00-07:00  287.151780  130.165727
2009-02-10 21:10:00-07:00  289.282718  131.983540
2009-02-10 21:20:00-07:00  291.511736  133.777244
2009-02-10 21:30:00-07:00  293.850721  135.542902
2009-02-10 21:40:00-07:00  296.312785  137.276059
2009-02-10 21:50:00-07:00  298.912246  138.971657
2009-02-10 22:00:00-07:00  301.664512  140.623945
2009-02-10 22:10:00-07:00  304.586112  142.226379
2009-02-10 22:20:00-07:00  307.694394  143.771528
2009-02-10 22:30:00-07:00  311.007008  145.250978
2009-02-10 22:40:00-07:00  314.541331  146.655255
2009-02-10 22:50:00-07:00  318.313344  147.973785
2009-02-10 23:00:00-07:00  322.336243  149.194920
2009-02-10 23:10:00-07:00  326.618553  150.306076
2009-02-10 23:20:00-07:00  331.161886  151.293961
2009-02-10 23:30:00-07:00  335.958618  152.144995
2009-02-10 23:40:00-07:00  340.989545  152.845930
2009-02-10 23:50:00-07:00  346.222453  153.384586
2009-02-11 00:00:00-07:00  351.611991  153.750718
2009-02-11 00:10:00-07:00  357.101196  153.936902
2009-02-11 00:20:00-07:00    2.625181  153.939190
2009-02-11 00:30:00-07:00    8.116163  153.757514
2009-02-11 00:40:00-07:00   13.509085  153.395726
2009-02-11 00:50:00-07:00   18.746748  152.861147
2009-02-11 01:00:00-07:00   23.783424  152.163942
