Formatted address: 3210 Dartmouth Ave, Boulder, CO 80305, USA
Coordinates (latitude, longitude): (39.9895882, -105.2546164)
Elevation: (meters AMSL) 0	(feet): 0.000000

Time sequence:
Start: 2001, 03, 21, 00, 00
Stop: 2001, 03, 22, 00, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2001-03-21 00:00:00-07:00  356.823672  139.680525
2001-03-21 00:10:00-07:00    0.689490  139.719361
2001-03-21 00:20:00-07:00    4.551209  139.629015
2001-03-21 00:30:00-07:00    8.388474  139.410360
2001-03-21 00:40:00-07:00   12.181878  139.065511
2001-03-21 00:50:00-07:00   15.913651  138.597701
2001-03-21 01:00:00-07:00   19.568214  138.011158
2001-03-21 01:10:00-07:00   23.132544  137.310924
2001-03-21 01:20:00-07:00   26.596376  136.502670
2001-03-21 01:30:00-07:00   29.952193  135.592500
2001-03-21 01:40:00-07:00   33.195105  134.586778
2001-03-21 01:50:00-07:00   36.322611  133.491971
2001-03-21 02:00:00-07:00   39.334294  132.314507
2001-03-21 02:10:00-07:00   42.231476  131.060676
2001-03-21 02:20:00-07:00   45.016896  129.736535
2001-03-21 02:30:00-07:00   47.694395  128.347868
2001-03-21 02:40:00-07:00   50.268621  126.900138
2001-03-21 02:50:00-07:00   52.744801  125.398473
2001-03-21 03:00:00-07:00   55.128513  123.847655
2001-03-21 03:10:00-07:00   57.425553  122.252126
2001-03-21 03:20:00-07:00   59.641792  120.615999
2001-03-21 03:30:00-07:00   61.783064  118.943080
2001-03-21 03:40:00-07:00   63.855118  117.236882
2001-03-21 03:50:00-07:00   65.863555  115.500644
2001-03-21 04:00:00-07:00   67.813813  113.737366
2001-03-21 04:10:00-07:00   69.711117  111.949815
2001-03-21 04:20:00-07:00   71.560493  110.140563
2001-03-21 04:30:00-07:00   73.366777  108.311993
2001-03-21 04:40:00-07:00   75.134601  106.466333
2001-03-21 04:50:00-07:00   76.868404  104.605665
2001-03-21 05:00:00-07:00   78.572474  102.731950
2001-03-21 05:10:00-07:00   80.250932  100.847039
2001-03-21 05:20:00-07:00   81.907765   98.952692
2001-03-21 05:30:00-07:00   83.546847   97.050594
2001-03-21 05:40:00-07:00   85.171947   95.142366
2001-03-21 05:50:00-07:00   86.786774   93.229581
2001-03-21 06:00:00-07:00   88.394970   91.313776
2001-03-21 06:10:00-07:00   90.000139   89.396465
2001-03-21 06:20:00-07:00   91.605869   87.479151
2001-03-21 06:30:00-07:00   93.215772   85.563340
2001-03-21 06:40:00-07:00   94.833468   83.650551
2001-03-21 06:50:00-07:00   96.462639   81.742329
2001-03-21 07:00:00-07:00   98.107027   79.840257
2001-03-21 07:10:00-07:00   99.770472   77.945975
2001-03-21 07:20:00-07:00  101.456914   76.061185
2001-03-21 07:30:00-07:00  103.170445   74.187672
2001-03-21 07:40:00-07:00  104.915292   72.327319
2001-03-21 07:50:00-07:00  106.695854   70.482120
2001-03-21 08:00:00-07:00  108.516734   68.654202
2001-03-21 08:10:00-07:00  110.382721   66.845840
2001-03-21 08:20:00-07:00  112.298828   65.059479
2001-03-21 08:30:00-07:00  114.270294   63.297758
2001-03-21 08:40:00-07:00  116.302576   61.563527
2001-03-21 08:50:00-07:00  118.401329   59.859874
2001-03-21 09:00:00-07:00  120.572441   58.190146
2001-03-21 09:10:00-07:00  122.821910   56.557983
2001-03-21 09:20:00-07:00  125.155881   54.967321
2001-03-21 09:30:00-07:00  127.580489   53.422438
2001-03-21 09:40:00-07:00  130.101798   51.927955
2001-03-21 09:50:00-07:00  132.725643   50.488845
2001-03-21 10:00:00-07:00  135.457432   49.110448
2001-03-21 10:10:00-07:00  138.301960   47.798467
2001-03-21 10:20:00-07:00  141.263093   46.558918
2001-03-21 10:30:00-07:00  144.343453   45.398124
2001-03-21 10:40:00-07:00  147.544107   44.322618
2001-03-21 10:50:00-07:00  150.864153   43.339064
2001-03-21 11:00:00-07:00  154.300421   42.454148
2001-03-21 11:10:00-07:00  157.847065   41.674397
2001-03-21 11:20:00-07:00  161.495397   41.006032
2001-03-21 11:30:00-07:00  165.233764   40.454757
2001-03-21 11:40:00-07:00  169.047578   40.025558
2001-03-21 11:50:00-07:00  172.919626   39.722513
2001-03-21 12:00:00-07:00  176.830497   39.548589
2001-03-21 12:10:00-07:00  180.759249   39.505542
2001-03-21 12:20:00-07:00  184.684272   39.593802
2001-03-21 12:30:00-07:00  188.584064   39.812463
2001-03-21 12:40:00-07:00  192.438135   40.159338
2001-03-21 12:50:00-07:00  196.227783   40.631041
2001-03-21 13:00:00-07:00  199.936671   41.223157
2001-03-21 13:10:00-07:00  203.551208   41.930416
2001-03-21 13:20:00-07:00  207.060777   42.746914
2001-03-21 13:30:00-07:00  210.457690   43.666288
2001-03-21 13:40:00-07:00  213.737096   44.681937
2001-03-21 13:50:00-07:00  216.896632   45.787164
2001-03-21 14:00:00-07:00  219.936121   46.975334
2001-03-21 14:10:00-07:00  222.857243   48.239971
2001-03-21 14:20:00-07:00  225.663071   49.574856
2001-03-21 14:30:00-07:00  228.357826   50.974065
