Formatted address: 3210 Rosewood Ave, Los Angeles, CA 90066, USA
Coordinates (latitude, longitude): (34.011461, -118.451329)
Elevation: (meters AMSL) 34.98878860473633	(feet): 114.792614

Time sequence:
Start: 2010, 06, 10, 00, 00
Stop: 2010, 06, 11, 00, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2010-06-10 00:00:00-06:00  330.695411  116.953941
2010-06-10 00:10:00-06:00  333.042893  117.930464
2010-06-10 00:20:00-06:00  335.449715  118.830348
2010-06-10 00:30:00-06:00  337.913501  119.650118
2010-06-10 00:40:00-06:00  340.430999  120.386412
2010-06-10 00:50:00-06:00  342.998221  121.036069
2010-06-10 01:00:00-06:00  345.610359  121.596155
2010-06-10 01:10:00-06:00  348.261811  122.064046
2010-06-10 01:20:00-06:00  350.946212  122.437463
2010-06-10 01:30:00-06:00  353.656649  122.714543
2010-06-10 01:40:00-06:00  356.385583  122.893863
2010-06-10 01:50:00-06:00  359.125172  122.974497
2010-06-10 02:00:00-06:00    1.867324  122.956018
2010-06-10 02:10:00-06:00    4.603863  122.838525
2010-06-10 02:20:00-06:00    7.326763  122.622633
2010-06-10 02:30:00-06:00   10.028276  122.309455
2010-06-10 02:40:00-06:00   12.701094  121.900586
2010-06-10 02:50:00-06:00   15.338476  121.398052
2010-06-10 03:00:00-06:00   17.934354  120.804262
2010-06-10 03:10:00-06:00   20.483416  120.121964
2010-06-10 03:20:00-06:00   22.981140  119.354186
2010-06-10 03:30:00-06:00   25.423818  118.504171
2010-06-10 03:40:00-06:00   27.808550  117.575323
2010-06-10 03:50:00-06:00   30.133210  116.571160
2010-06-10 04:00:00-06:00   32.396390  115.495257
2010-06-10 04:10:00-06:00   34.597364  114.351202
2010-06-10 04:20:00-06:00   36.735995  113.142559
2010-06-10 04:30:00-06:00   38.812673  111.872839
2010-06-10 04:40:00-06:00   40.828251  110.545469
2010-06-10 04:50:00-06:00   42.783967  109.163766
2010-06-10 05:00:00-06:00   44.681376  107.730935
2010-06-10 05:10:00-06:00   46.522297  106.250048
2010-06-10 05:20:00-06:00   48.308757  104.724035
2010-06-10 05:30:00-06:00   50.042931  103.155686
2010-06-10 05:40:00-06:00   51.727130  101.547646
2010-06-10 05:50:00-06:00   53.363732   99.902418
2010-06-10 06:00:00-06:00   54.955176   98.222363
2010-06-10 06:10:00-06:00   56.503932   96.509707
2010-06-10 06:20:00-06:00   58.012485   94.766547
2010-06-10 06:30:00-06:00   59.483318   92.994853
2010-06-10 06:40:00-06:00   60.918901   91.196476
2010-06-10 06:50:00-06:00   62.321699   89.373157
2010-06-10 07:00:00-06:00   63.694144   87.526532
2010-06-10 07:10:00-06:00   65.038653   85.658138
2010-06-10 07:20:00-06:00   66.357637   83.769424
2010-06-10 07:30:00-06:00   67.653481   81.861752
2010-06-10 07:40:00-06:00   68.928582   79.936408
2010-06-10 07:50:00-06:00   70.185316   77.994607
2010-06-10 08:00:00-06:00   71.426102   76.037502
2010-06-10 08:10:00-06:00   72.653378   74.066185
2010-06-10 08:20:00-06:00   73.869616   72.081697
2010-06-10 08:30:00-06:00   75.077378   70.085035
2010-06-10 08:40:00-06:00   76.279286   68.077155
2010-06-10 08:50:00-06:00   77.478107   66.058985
2010-06-10 09:00:00-06:00   78.676724   64.031418
2010-06-10 09:10:00-06:00   79.878215   61.995333
2010-06-10 09:20:00-06:00   81.085888   59.951597
2010-06-10 09:30:00-06:00   82.303308   57.901068
2010-06-10 09:40:00-06:00   83.534402   55.844618
2010-06-10 09:50:00-06:00   84.783493   53.783120
2010-06-10 10:00:00-06:00   86.055418   51.717483
2010-06-10 10:10:00-06:00   87.355640   49.648656
2010-06-10 10:20:00-06:00   88.690375   47.577634
2010-06-10 10:30:00-06:00   90.066795   45.505501
2010-06-10 10:40:00-06:00   91.493225   43.433437
2010-06-10 10:50:00-06:00   92.979461   41.362756
2010-06-10 11:00:00-06:00   94.537106   39.294943
2010-06-10 11:10:00-06:00   96.180094   37.231727
2010-06-10 11:20:00-06:00   97.925276   35.175120
2010-06-10 11:30:00-06:00   99.793298   33.127542
2010-06-10 11:40:00-06:00  101.809673   31.091934
2010-06-10 11:50:00-06:00  104.006296   29.071940
2010-06-10 12:00:00-06:00  106.423466   27.072176
2010-06-10 12:10:00-06:00  109.112545   25.098552
2010-06-10 12:20:00-06:00  112.139651   23.158826
2010-06-10 12:30:00-06:00  115.590338   21.263305
2010-06-10 12:40:00-06:00  119.575507   19.425943
2010-06-10 12:50:00-06:00  124.237835   17.665858
