Formatted address: 562 Southampton Dr, Palo Alto, CA 94303, USA
Coordinates (latitude, longitude): (37.4393123, -122.1369936)
Elevation: (meters AMSL) 0	(feet): 0.000000

Time sequence:
Start: 2005, 01, 09, 00, 00
Stop: 2005, 01, 11, 00, 00
Frequency: 10 min

Ephemeris:
                               azimuth      zenith
2005-01-09 00:00:00-07:00  307.970170  157.598075
2005-01-09 00:10:00-07:00  312.729473  159.110224
2005-01-09 00:20:00-07:00  318.094013  160.503268
2005-01-09 00:30:00-07:00  324.134851  161.749143
2005-01-09 00:40:00-07:00  330.897366  162.815130
2005-01-09 00:50:00-07:00  338.375249  163.665414
2005-01-09 01:00:00-07:00  346.481918  164.264538
2005-01-09 01:10:00-07:00  355.032905  164.582886
2005-01-09 01:20:00-07:00    3.757893  164.602871
2005-01-09 01:30:00-07:00   12.348984  164.323325
2005-01-09 01:40:00-07:00   20.527403  163.759841
2005-01-09 01:50:00-07:00   28.095799  162.940772
2005-01-09 02:00:00-07:00   34.955081  161.901135
2005-01-09 02:10:00-07:00   41.089889  160.676953
2005-01-09 02:20:00-07:00   46.540393  159.301483
2005-01-09 02:30:00-07:00   51.375443  157.803424
2005-01-09 02:40:00-07:00   55.673412  156.206588
2005-01-09 02:50:00-07:00   59.510987  154.530261
2005-01-09 03:00:00-07:00   62.957774  152.789895
2005-01-09 03:10:00-07:00   66.074376  150.997817
2005-01-09 03:20:00-07:00   68.912354  149.163898
2005-01-09 03:30:00-07:00   71.515072  147.296053
2005-01-09 03:40:00-07:00   73.918759  145.400703
2005-01-09 03:50:00-07:00   76.153679  143.483083
2005-01-09 04:00:00-07:00   78.245131  141.547513
2005-01-09 04:10:00-07:00   80.214349  139.597603
2005-01-09 04:20:00-07:00   82.079210  137.636396
2005-01-09 04:30:00-07:00   83.854888  135.666484
2005-01-09 04:40:00-07:00   85.554301  133.690118
2005-01-09 04:50:00-07:00   87.188546  131.709261
2005-01-09 05:00:00-07:00   88.767194  129.725664
2005-01-09 05:10:00-07:00   90.298584  127.740900
2005-01-09 05:20:00-07:00   91.790018  125.756392
2005-01-09 05:30:00-07:00   93.247949  123.773469
2005-01-09 05:40:00-07:00   94.678115  121.793369
2005-01-09 05:50:00-07:00   96.085660  119.817263
2005-01-09 06:00:00-07:00   97.475235  117.846282
2005-01-09 06:10:00-07:00   98.851067  115.881518
2005-01-09 06:20:00-07:00  100.217064  113.924049
2005-01-09 06:30:00-07:00  101.576818  111.974938
2005-01-09 06:40:00-07:00  102.933703  110.035259
2005-01-09 06:50:00-07:00  104.290882  108.106085
2005-01-09 07:00:00-07:00  105.651367  106.188517
2005-01-09 07:10:00-07:00  107.018027  104.283677
2005-01-09 07:20:00-07:00  108.393627  102.392722
2005-01-09 07:30:00-07:00  109.780838  100.516851
2005-01-09 07:40:00-07:00  111.182277   98.657310
2005-01-09 07:50:00-07:00  112.600491   96.815400
2005-01-09 08:00:00-07:00  114.038006   94.992482
2005-01-09 08:10:00-07:00  115.497310   93.189984
2005-01-09 08:20:00-07:00  116.980855   91.409410
2005-01-09 08:30:00-07:00  118.491078   89.652343
2005-01-09 08:40:00-07:00  120.030439   87.920454
2005-01-09 08:50:00-07:00  121.601328   86.215507
2005-01-09 09:00:00-07:00  123.206149   84.539362
2005-01-09 09:10:00-07:00  124.847266   82.893988
2005-01-09 09:20:00-07:00  126.527028   81.281459
2005-01-09 09:30:00-07:00  128.247703   79.703965
2005-01-09 09:40:00-07:00  130.011544   78.163813
2005-01-09 09:50:00-07:00  131.820657   76.663427
2005-01-09 10:00:00-07:00  133.677088   75.205354
2005-01-09 10:10:00-07:00  135.582711   73.792258
2005-01-09 10:20:00-07:00  137.539219   72.426920
2005-01-09 10:30:00-07:00  139.548100   71.112229
2005-01-09 10:40:00-07:00  141.610558   69.851172
2005-01-09 10:50:00-07:00  143.727479   68.646833
2005-01-09 11:00:00-07:00  145.899384   67.502359
2005-01-09 11:10:00-07:00  148.126394   66.420951
2005-01-09 11:20:00-07:00  150.408101   65.405838
2005-01-09 11:30:00-07:00  152.743589   64.460242
2005-01-09 11:40:00-07:00  155.131382   63.587349
2005-01-09 11:50:00-07:00  157.569336   62.790266
2005-01-09 12:00:00-07:00  160.054705   62.071985
2005-01-09 12:10:00-07:00  162.584020   61.435329
2005-01-09 12:20:00-07:00  165.153223   60.882914
2005-01-09 12:30:00-07:00  167.757547   60.417091
2005-01-09 12:40:00-07:00  170.391677   60.039925
2005-01-09 12:50:00-07:00  173.049755   59.753115
2005-01-09 13:00:00-07:00  175.725481   59.557994
2005-01-09 13:10:00-07:00  178.412232   59.455483
2005-01-09 13:20:00-07:00  181.103163   59.446067
2005-01-09 13:30:00-07:00  183.791347   59.529792
2005-01-09 13:40:00-07:00  186.469915   59.706257
2005-01-09 13:50:00-07:00  189.132200   59.974632
2005-01-09 14:00:00-07:00  191.771809   60.333668
2005-01-09 14:10:00-07:00  194.382799   60.781731
2005-01-09 14:20:00-07:00  196.959720   61.316829
2005-01-09 14:30:00-07:00  199.497736   61.936669
2005-01-09 14:40:00-07:00  201.992586   62.638682
2005-01-09 14:50:00-07:00  204.440730   63.420081
2005-01-09 15:00:00-07:00  206.839233   64.277907
2005-01-09 15:10:00-07:00  209.185881   65.209072
2005-01-09 15:20:00-07:00  211.479035   66.210402
2005-01-09 15:30:00-07:00  213.717671   67.278679
2005-01-09 15:40:00-07:00  215.901296   68.410675
2005-01-09 15:50:00-07:00  218.029925   69.603180
2005-01-09 16:00:00-07:00  220.103993   70.853030
2005-01-09 16:10:00-07:00  222.124322   72.157131
2005-01-09 16:20:00-07:00  224.092086   73.512475
2005-01-09 16:30:00-07:00  226.008678   74.916149
2005-01-09 16:40:00-07:00  227.875793   76.365349
2005-01-09 16:50:00-07:00  229.695273   77.857388
2005-01-09 17:00:00-07:00  231.469100   79.389694
2005-01-09 17:10:00-07:00  233.199406   80.959818
2005-01-09 17:20:00-07:00  234.888375   82.565427
2005-01-09 17:30:00-07:00  236.538358   84.204308
2005-01-09 17:40:00-07:00  238.151594   85.874361
2005-01-09 17:50:00-07:00  239.730542   87.573598
2005-01-09 18:00:00-07:00  241.277553   89.300134
2005-01-09 18:10:00-07:00  242.795029   91.052185
2005-01-09 18:20:00-07:00  244.285431   92.828060
2005-01-09 18:30:00-07:00  245.751190   94.626158
2005-01-09 18:40:00-07:00  247.194791   96.444957
2005-01-09 18:50:00-07:00  248.618695   98.283011
2005-01-09 19:00:00-07:00  250.025468  100.138945
2005-01-09 19:10:00-07:00  251.417624  102.011443
2005-01-09 19:20:00-07:00  252.797759  103.899245
2005-01-09 19:30:00-07:00  254.168606  105.801142
2005-01-09 19:40:00-07:00  255.532868  107.715965
2005-01-09 19:50:00-07:00  256.893414  109.642579
2005-01-09 20:00:00-07:00  258.253277  111.579877
2005-01-09 20:10:00-07:00  259.615572  113.526773
2005-01-09 20:20:00-07:00  260.983659  115.482193
2005-01-09 20:30:00-07:00  262.361090  117.445061
2005-01-09 20:40:00-07:00  263.751744  119.414298
2005-01-09 20:50:00-07:00  265.159801  121.388807
2005-01-09 21:00:00-07:00  266.589878  123.367458
2005-01-09 21:10:00-07:00  268.047004  125.349074
2005-01-09 21:20:00-07:00  269.536859  127.332421
2005-01-09 21:30:00-07:00  271.065756  129.316181
2005-01-09 21:40:00-07:00  272.640880  131.298923
2005-01-09 21:50:00-07:00  274.270426  133.279094
2005-01-09 22:00:00-07:00  275.963712  135.254965
2005-01-09 22:10:00-07:00  277.731584  137.224584
2005-01-09 22:20:00-07:00  279.586663  139.185736
2005-01-09 22:30:00-07:00  281.543649  141.135864
2005-01-09 22:40:00-07:00  283.619972  143.071980
2005-01-09 22:50:00-07:00  285.836177  144.990553
2005-01-09 23:00:00-07:00  288.216744  146.887355
2005-01-09 23:10:00-07:00  290.790905  148.757283
2005-01-09 23:20:00-07:00  293.593578  150.594098
2005-01-09 23:30:00-07:00  296.666480  152.390117
2005-01-09 23:40:00-07:00  300.059253  154.135797
2005-01-09 23:50:00-07:00  303.830119  155.819248
2005-01-10 00:00:00-07:00  308.046121  157.425585
2005-01-10 00:10:00-07:00  312.781382  158.936259
2005-01-10 00:20:00-07:00  318.112509  160.328388
2005-01-10 00:30:00-07:00  324.108513  161.574310
2005-01-10 00:40:00-07:00  330.813492  162.641855
2005-01-10 00:50:00-07:00  338.221733  163.495786
2005-01-10 01:00:00-07:00  346.250047  164.101214
2005-01-10 01:10:00-07:00  354.721039  164.428810
2005-01-10 01:20:00-07:00    3.373390  164.460824
2005-01-10 01:30:00-07:00   11.907425  164.195437
2005-01-10 01:40:00-07:00   20.048794  163.647232
2005-01-10 01:50:00-07:00   27.599953  162.843544
2005-01-10 02:00:00-07:00   34.458301  161.818558
2005-01-10 02:10:00-07:00   40.603716  160.607784
2005-01-10 02:20:00-07:00   46.071941  159.244232
2005-01-10 02:30:00-07:00   50.928380  157.756576
2005-01-10 02:40:00-07:00   55.249059  156.168701
2005-01-10 02:50:00-07:00   59.109202  154.500024
2005-01-10 03:00:00-07:00   62.577558  152.766160
2005-01-10 03:10:00-07:00   65.714316  150.979587
2005-01-10 03:20:00-07:00   68.570865  149.150306
2005-01-10 03:30:00-07:00   71.190529  147.286350
2005-01-10 03:40:00-07:00   73.609618  145.394241
2005-01-10 03:50:00-07:00   75.858485  143.479302
2005-01-10 04:00:00-07:00   77.962545  141.545932
2005-01-10 04:10:00-07:00   79.943150  139.597791
2005-01-10 04:20:00-07:00   81.818310  137.637977
2005-01-10 04:30:00-07:00   83.603284  135.669131
2005-01-10 04:40:00-07:00   85.311105  133.693533
2005-01-10 04:50:00-07:00   86.952953  131.713181
2005-01-10 05:00:00-07:00   88.538479  129.729844
